timestamp,open,high,low,close,volume,datetime
1778904000000,89.05,89.1,86.73,87.46,167436.270036,2026-05-16 12:00:00+08:00
1778918400000,87.46,87.63,85.52,86.11,157752.175405,2026-05-16 16:00:00+08:00
1778932800000,86.11,86.7,86.01,86.49,70795.18872,2026-05-16 20:00:00+08:00
1778947200000,86.49,86.96,86.3,86.7,65426.694867,2026-05-17 00:00:00+08:00
1778961600000,86.7,86.9,86.45,86.55,35144.472248,2026-05-17 04:00:00+08:00
1778976000000,86.55,86.73,85.58,86.51,107858.694799,2026-05-17 08:00:00+08:00
1778990400000,86.52,87.28,86.48,86.98,50084.13712,2026-05-17 12:00:00+08:00
1779004800000,86.98,87.27,86.59,86.91,69655.804619,2026-05-17 16:00:00+08:00
1779019200000,86.91,87.02,85.94,86.45,43124.229791,2026-05-17 20:00:00+08:00
1779033600000,86.45,86.94,86.01,86.8,40608.100248,2026-05-18 00:00:00+08:00
1779048000000,86.8,86.97,83.38,85.23,231802.143853,2026-05-18 04:00:00+08:00
1779062400000,85.23,85.47,84.4,84.86,127004.576794,2026-05-18 08:00:00+08:00
1779076800000,84.86,85.38,84.28,84.77,130905.042093,2026-05-18 12:00:00+08:00
1779091200000,84.77,85.32,84.08,84.98,71842.351286,2026-05-18 16:00:00+08:00
1779105600000,84.99,85.79,83.61,84.21,178110.775345,2026-05-18 20:00:00+08:00
1779120000000,84.21,85.23,83.5,85.01,108316.133665,2026-05-19 00:00:00+08:00
1779134400000,85.01,85.78,84.79,85.39,68403.787548,2026-05-19 04:00:00+08:00
1779148800000,85.39,85.97,84.62,85.09,46162.196267,2026-05-19 08:00:00+08:00
1779163200000,85.09,85.63,84.45,85.48,79929.929114,2026-05-19 12:00:00+08:00
1779177600000,85.49,85.59,84.27,84.39,74898.392652,2026-05-19 16:00:00+08:00
1779192000000,84.39,85.1,83.7,84.38,81418.114037,2026-05-19 20:00:00+08:00
1779206400000,84.38,85.06,84.15,84.35,51603.359123,2026-05-20 00:00:00+08:00
1779220800000,84.36,84.67,84.0,84.3,46381.05479,2026-05-20 04:00:00+08:00
1779235200000,84.29,84.54,83.85,84.1,54910.450969,2026-05-20 08:00:00+08:00
1779249600000,84.11,85.12,83.88,84.75,48211.968893,2026-05-20 12:00:00+08:00
